totalProteinIdealInAllMeals,totalProteinAllMeals,totalLipidIdealInAllMeals,totalLipidAllMeals,totalCaloriesIdealValue,totalCaloriesAllMeals,firstMealProteinFoodTotalGrams,firstMealLipidFoodTotalGrams,firstMealCarboFoodTotalGrams,secondMealProteinFoodTotalGrams,secondMealLipidFoodTotalGrams,secondMealCarboFoodTotalGrams,thirdMealProteinFoodTotalGrams,thirdMealLipidFoodTotalGrams,thirdMealCarboFoodTotalGrams,fourthMealProteinFoodTotalGrams,fourthMealLipidFoodTotalGrams,fourthMealCarboFoodTotalGrams
273.0,108.0862,130,51.787582,3955.3993,1787.1195,63.821507,4.047724,146.55629,100.72344,7.490677,312.31393,48.727604,12.261133,230.86412,67.50226,12.114194,261.56332
241.3,291.04117,127,138.24693,3133.692875,3368.6165,142.86177,36.822754,263.31445,243.07413,31.98898,236.32428,190.31728,13.059722,401.9501,196.80553,44.1595,402.62024
147.20000000000002,111.48384,92,61.545555,2055.2568,2149.1948,53.574535,17.67994,173.59203,76.02036,15.3384695,759.09735,41.114254,17.79998,500.9411,86.43303,12.818395,435.54666
155.20000000000002,118.4172,97,59.573063,2318.416375,3080.2703,41.76642,9.125657,802.4928,74.096954,18.49096,186.26317,39.53805,10.372592,115.555954,45.709423,23.155764,507.30518
118.0,141.3004,59,79.102425,3072.09325,2984.1018,59.484993,7.941447,699.96405,76.82967,29.42377,479.13113,48.55129,19.695656,291.36172,77.25956,15.278893,1263.8784
178.20000000000002,85.34831,99,48.303604,3592.4495,2055.8315,28.042917,15.363155,203.4835,51.09894,11.660285,324.59406,32.173676,11.794124,475.03656,39.662056,24.680777,330.7162
165.29999999999998,101.168076,87,56.822548,1390.8988000000002,1344.1134,47.44969,14.942278,89.90974,109.85109,4.0580215,98.97438,51.938908,6.753843,72.0729,70.98331,14.453728,112.657974
100.7,255.90717,53,129.05803,1646.4312,4598.481,123.032394,43.499027,605.11615,169.84764,37.6129,561.21466,152.12506,7.582361,449.1783,134.0128,53.10487,639.1435
171.60000000000002,72.72582,78,45.67659,2078.64385,1759.9268,37.849117,8.555974,160.08116,62.001007,9.350704,231.82195,38.13781,6.6744375,160.46016,64.2391,9.075982,260.90952
189.0,274.72638,90,136.92918,2915.5076000000004,4599.184,137.5563,17.553576,352.32816,252.30411,17.733442,997.75745,165.98328,6.4946566,395.0252,184.91133,48.0449,924.5107
208.0,249.71048,104,117.636665,2865.45375,2548.9705,177.16437,10.69701,123.80861,225.92798,15.17365,330.11035,143.62314,23.230917,82.11932,176.47154,45.09275,190.81319
105.8,90.70833,46,50.454437,1740.4685999999997,2190.5825,37.377205,10.180268,519.99365,57.213,22.627235,325.26324,35.30449,15.089346,340.00995,77.99697,2.8017738,335.09744
120.0,199.37099,75,123.221375,2561.6648,2408.3015,132.80324,17.603527,53.501915,176.7861,28.151115,112.05439,100.58186,43.587505,30.888472,136.53677,39.22841,124.071754
154.0,137.75854,77,65.83488,1778.0896000000002,1952.6191,94.91442,6.230188,105.484955,95.77104,28.327415,179.00865,77.11977,4.9604664,52.26685,112.58353,8.90601,183.67757
229.9,172.9201,121,78.081154,4037.504075,1511.8295,121.363655,8.203138,6.96232,132.52048,30.028708,12.10585,95.201744,25.00404,48.295498,179.07397,4.3353353,25.513748
246.40000000000003,169.4639,112,104.954865,3604.5054,3365.4749,82.68042,22.997873,270.69852,84.55673,37.3177,168.7809,76.47682,14.132091,285.88605,98.935455,27.601236,933.8907
217.6,272.6867,128,123.4093,4295.2044000000005,2605.087,158.83188,19.422514,89.96376,293.2697,3.625972,82.25768,150.13344,22.867968,70.7164,270.22824,13.535838,182.54726
190.9,209.03596,83,115.43499,2730.3498000000004,3679.095,79.871666,32.742706,302.78888,199.68187,8.802085,633.7913,107.75818,13.785886,319.0389,111.354294,57.3519,1080.422
305.9,153.53679,133,77.89429,3577.6793250000005,4145.7812,85.35254,6.7665377,411.64752,45.394764,30.450487,268.5401,70.75995,24.01534,625.8514,57.95743,29.322744,734.4211
220.00000000000003,153.49481,100,65.56837,2163.777,1480.3044,87.56849,11.8670025,75.52443,121.089134,30.259167,68.16068,95.48054,1.877031,20.442926,162.3074,4.6354127,153.32704
275.1,120.75777,131,76.00895,3241.5423750000004,2562.3926,58.0915,26.840588,211.73523,84.332,28.320477,830.3982,72.84652,10.434578,219.62074,79.41155,7.880755,407.54675
301.29999999999995,181.69359,131,104.957535,4688.2823,4251.55,102.58806,18.56539,593.1606,77.71478,35.905956,242.0931,58.01302,26.116922,463.36673,135.3769,19.023748,974.2578
319.7,120.71923,139,57.183037,3907.987625,2092.5452,56.753876,10.148531,64.57275,99.03927,12.536165,270.62308,65.17466,9.968639,390.05704,81.63869,16.139585,741.5789
198.0,195.20189,110,84.51783,3189.2214000000004,2694.098,122.90546,1.5475805,63.473274,139.64304,41.580032,257.3697,122.557724,6.8719926,201.43188,184.31918,8.001693,296.8082
76.5,203.44147,45,118.6585,1674.41725,3187.7556,109.13123,15.215225,199.28178,158.35214,29.416054,121.04679,100.756195,14.76472,71.18561,142.8147,19.91326,134.7928
140.8,157.50386,64,87.73175,2599.0309,3057.861,60.056328,23.8686,625.04736,110.75779,41.771503,618.5076,60.74175,27.35513,688.4056,74.865845,39.679638,1165.8191
190.4,116.83803,119,58.254772,3569.8287250000008,2097.3909,64.24628,4.5488873,197.21341,82.275185,8.6477375,278.3664,60.556854,13.568638,300.0797,79.389046,26.862637,426.61182
131.1,259.71188,57,117.68288,1840.2489000000005,3811.9888,137.67302,18.135834,617.4075,186.47977,51.982616,409.96863,111.639984,30.367271,672.7801,213.44102,7.583578,460.50812
201.6,124.98446,96,73.503784,4516.3568000000005,2001.1942,77.49647,11.695146,184.18832,95.12657,21.481592,210.10501,57.04527,19.585403,144.25285,72.908424,14.956245,91.15165
283.8,303.7891,129,137.52068,3256.469100000001,5288.159,152.11513,20.986048,729.1509,263.9024,17.524237,609.72675,157.93591,25.070568,491.7917,275.62354,12.375685,1330.197
95.2,104.875114,56,65.9317,1584.8532,2376.8228,41.844765,18.150827,206.89285,70.975525,14.659331,349.72528,38.391678,21.502928,78.54097,72.25128,5.4283457,397.42303
176.4,203.05363,98,95.435074,2666.6576,1954.8633,114.06167,20.123537,28.318941,202.15192,8.475986,32.86922,143.15431,7.956792,25.999334,151.46223,32.39515,13.243009
247.8,164.49727,118,87.04273,3035.7062,2136.5293,110.420944,3.678894,93.06115,160.87991,14.154032,230.19472,119.44683,4.2756476,151.80952,151.34615,6.33307,242.09956
268.8,141.76392,128,70.76583,2849.656750000001,2338.1235,70.33293,11.673546,180.4572,103.41699,10.972583,265.55917,93.76003,6.368749,161.3464,115.94144,5.3665266,308.6626
170.2,79.21019,74,50.20986,3398.9820000000004,2564.9766,22.942749,7.040313,105.707054,47.787422,19.178293,418.55054,37.592854,11.01548,282.49722,35.690437,11.953689,186.90666
294.4,156.67484,128,73.8532,3277.335,2804.7903,67.67291,20.913803,360.77554,138.45073,10.773411,621.507,75.92569,23.690536,398.0264,108.07958,16.964828,804.33234
133.20000000000002,79.1612,74,49.73551,1305.2224,2802.5703,43.892204,3.455535,335.36267,59.566235,13.356684,474.5971,19.208506,14.699497,370.6682,27.183159,25.738283,531.8255
230.4,203.5319,128,101.10955,1997.9200000000003,2324.535,132.98717,9.529545,61.986046,162.87567,53.00128,73.03144,109.08788,20.216658,186.12842,184.00093,8.2394705,127.25361
123.9,120.645065,59,57.598755,2530.6136,2092.502,68.15006,9.780691,282.77997,87.64657,20.69375,257.7728,79.59401,4.9117336,186.59668,91.74636,16.180061,274.6733
121.6,238.23831,76,133.07413,2790.0436,2833.2366,119.64052,43.556168,43.252964,208.86557,20.714863,156.03412,174.88467,16.687717,193.5478,189.92998,31.581064,206.07913
155.79999999999998,157.45381,82,87.906555,2733.0704,2206.2043,83.21142,27.121346,77.23749,98.912285,38.706196,500.67975,96.256035,8.899058,149.11525,98.28823,39.624214,358.76212
153.3,296.68036,73,128.08101,1764.1524000000002,4049.678,157.57516,24.562794,232.51982,317.6635,3.6366858,398.62976,145.83104,14.841831,286.49158,233.91959,16.24394,455.69327
235.6,153.90924,124,69.89593,4318.60635,1897.5261,86.534454,11.639901,199.2597,150.1581,9.670049,235.12343,67.44815,21.391542,83.78737,127.380424,16.383762,139.59135
78.4,301.5377,49,130.6716,2657.3248,4092.3323,136.2253,33.218822,100.610565,254.56401,15.840578,672.2461,144.09106,29.118376,277.02612,288.07214,13.862727,460.37918
129.8,139.61487,59,87.32191,2636.512125,1995.8694,73.36959,22.605425,68.535835,127.0176,18.853146,90.56079,76.106186,15.419932,270.8816,114.99993,11.357466,168.06271
180.5,177.75194,95,98.34763,2708.72575,2667.0225,101.92633,7.619561,55.751663,111.02069,38.998085,578.54156,100.55634,11.392869,166.64929,128.14322,34.46418,517.71436
126.5,79.01197,55,46.102028,2831.0663000000004,1048.151,35.82808,4.5228033,51.522346,67.733215,17.06942,84.5873,41.10454,18.048838,54.49653,78.2833,6.322815,58.761776
201.6,199.63483,96,111.71363,4199.519525000001,3993.892,83.3986,32.741108,395.1594,119.634285,40.499443,511.72964,115.471275,8.883555,380.32492,123.71271,24.4638,205.3253
78.4,193.48486,49,101.108955,1626.8201,3067.4888,132.20146,11.512141,210.84506,159.06392,20.527609,128.55302,83.90242,22.345543,555.7112,136.35161,23.168015,733.6175
279.40000000000003,91.76045,127,57.18214,3891.0650999999993,2667.0815,33.197334,19.232351,472.70157,53.963203,27.777313,440.05383,37.069157,7.800775,485.62317,14.74688,23.966673,182.99294
105.0,284.20865,50,127.582825,1864.6184,2898.8337,202.74164,6.7368827,86.155716,297.95825,10.402481,139.94647,155.8657,43.022057,110.239265,278.2866,5.900836,153.24043
224.7,237.84099,107,139.02547,3211.68435,4403.553,138.82787,25.000181,518.8296,135.18706,61.163757,545.816,112.486725,14.840882,341.87125,185.05553,31.915777,827.0647
167.20000000000002,117.157936,76,69.244064,2781.8472,2999.8936,40.75328,16.847946,786.45593,79.02412,9.2993765,454.1621,55.857876,4.7736583,356.35062,102.341484,10.5458555,466.72113
90.0,115.8202,45,59.91022,2777.4597,1727.1215,53.83782,21.914219,49.310238,86.95787,29.610003,199.9078,56.663986,14.269244,112.51783,74.88645,28.13508,222.9727
217.6,212.14359,136,82.16997,2846.2760000000003,1764.4658,130.85548,7.2057714,6.112259,162.78046,27.666681,3.5974371,108.767204,17.756918,22.392853,202.50592,9.989014,9.714043
164.8,161.51129,103,94.28898,3066.79225,2295.7878,92.34757,11.422365,54.48566,158.26527,8.938651,183.08907,84.24919,10.090111,51.57924,140.36778,13.383704,292.87024
142.79999999999998,278.731,84,120.05435,2909.6334,4437.121,119.72494,14.347581,127.02401,205.2409,36.380325,561.77167,124.80882,23.06257,351.84232,200.12955,58.566387,852.9989
289.8,185.5095,138,96.88365,2316.7700000000004,3370.359,118.772804,6.402258,293.3267,117.19723,35.79617,436.53317,102.44328,12.80787,328.6727,125.86279,14.562525,1105.185
227.8,127.33711,134,55.14574,3514.1566,2031.0562,64.6004,6.7476864,247.33037,70.180435,20.821129,86.361336,69.55801,2.264972,175.7937,98.41331,7.8171654,276.80295
200.1,173.67421,87,75.64216,3471.4771,2951.532,87.978584,6.4419556,271.6564,120.744576,15.151184,948.87854,105.45847,11.802487,350.9139,126.462944,16.956255,682.86316
86.4,279.85904,48,137.84215,1574.3557,2837.5579,169.3213,21.363848,71.18795,283.1099,15.212274,42.733086,152.77632,42.01467,90.78762,209.8057,36.199303,142.47481
147.9,259.95673,87,123.909035,2005.228,2744.7786,140.77084,36.898434,196.80426,183.2233,50.81616,40.41665,129.28674,32.592377,86.04513,244.67972,8.060283,78.24191
86.4,223.77274,54,101.406685,2254.8061500000003,3528.6191,147.28944,8.572789,458.68066,183.99838,29.999441,444.2415,152.98354,4.753328,484.8001,228.75151,3.7141917,465.0083
91.8,227.14548,51,84.1117,2128.1252000000004,1729.5159,112.846565,23.145079,23.484484,201.27538,10.524342,4.066925,131.81352,16.51204,8.63596,181.37419,26.847906,-4.1157103
204.0,92.81429,102,49.53077,3409.1469500000003,1462.2992,44.584866,14.180406,147.52887,84.621605,10.339601,233.51324,49.102898,17.603565,252.24734,75.59687,8.371407,133.64705
120.0,120.65092,60,58.03709,2581.7802,2083.649,48.37504,15.402745,62.45866,92.50433,26.551405,269.85522,77.1479,2.68273,295.1736,102.602036,7.4213357,276.45444
301.40000000000003,262.91257,137,112.75744,5823.2376,2870.181,138.33267,11.984345,290.67715,201.59764,19.787766,193.95227,186.9876,3.6289556,115.54576,180.31303,43.06351,210.75264
253.00000000000003,259.91437,115,117.60558,3059.7997000000005,2862.437,166.70348,9.958743,253.41081,224.72038,14.36895,170.97469,155.78712,18.937881,127.73136,232.30257,17.371103,560.69086
128.1,268.2629,61,131.30893,2056.8824,2860.5134,145.7173,16.048319,208.77777,251.38588,17.753895,101.3502,176.39713,4.912543,97.99948,230.53264,13.029588,50.203335
299.0,96.94692,130,53.605503,3194.2116999999994,3007.043,40.682472,9.305588,511.15213,53.06985,17.375807,520.99225,30.78261,17.582994,512.1755,31.771637,9.146821,223.65205
162.0,221.69368,81,111.48159,2992.87175,2776.758,128.56676,11.546535,315.5601,151.26472,42.918514,208.9663,151.97116,5.472437,300.87003,180.4118,23.406347,231.97443
211.2,253.46982,132,120.56472,3467.5812000000005,3004.832,138.56007,40.80082,199.99956,272.57944,10.478983,218.97905,178.37633,5.506928,130.53775,184.35696,21.859732,98.12466
123.5,215.57521,65,111.06805,1859.346,2155.5068,121.88737,17.781008,25.906672,178.33917,33.26,225.55305,122.61874,21.286041,54.769936,208.12154,17.221071,67.23309
158.0,108.69343,79,50.355724,2963.43075,2033.0106,53.853085,3.2323463,70.14958,102.25422,7.674238,429.99564,64.038605,5.17117,194.84422,83.94213,2.38999,320.96265
89.3,143.28206,47,63.614067,975.846625,1841.3842,79.1138,11.3907385,174.93774,131.72357,11.376784,375.3714,69.724335,17.02763,103.37718,109.52977,10.138747,166.33322
96.6,139.735,46,78.09222,2192.3458,4082.7593,43.580853,20.565067,492.68222,55.041267,30.506977,666.68884,56.330074,11.116454,1025.1357,95.957,20.640556,666.43353
90.0,206.37994,50,115.21664,2419.6905,4292.4287,113.53858,17.98319,593.03894,140.46469,44.006996,533.4163,116.483826,8.181294,384.6486,126.68248,45.231464,576.61096
291.90000000000003,154.47264,139,91.26579,4511.08225,2378.4004,66.33512,31.01231,116.31681,115.52615,48.72462,285.6731,87.54741,6.472531,61.29863,140.42413,9.192567,244.59105
178.20000000000002,241.75008,99,132.96419,3274.129875,3600.459,97.86147,35.77979,614.05237,178.08313,63.579773,521.452,170.6462,16.882647,230.02818,179.09279,24.96194,996.70514
96.9,149.04832,51,79.20436,1528.8432250000003,2615.3352,75.9812,12.048013,226.55862,93.312004,27.136383,331.00217,78.04841,27.119032,328.1169,114.098404,19.405237,347.6664
73.60000000000001,107.32463,46,62.54704,2865.79955,2376.7297,49.946865,18.125574,205.49826,61.118637,24.102674,825.0376,36.97639,19.63722,90.17291,69.21585,5.0255475,407.77112
272.0,144.0943,136,69.01319,3065.1128,2239.8877,65.78806,18.40018,416.47577,126.000015,14.649846,238.6032,84.52704,6.9261665,161.96722,86.57521,20.762417,653.4197
231.2,179.4487,136,113.332794,2147.1802500000003,2796.8691,80.9849,29.339733,255.8056,144.57123,38.003723,233.05449,94.09617,20.047241,59.71596,166.66443,11.269614,256.16342
178.20000000000002,205.58606,81,112.812904,1782.407875,2695.8232,129.10359,16.145731,194.02458,196.46564,28.369106,88.02236,93.91386,35.87509,294.2426,157.06375,24.316895,101.94397
287.5,117.9176,125,73.24278,3996.7201,3301.2554,37.586163,24.469183,353.70114,72.48861,17.51022,555.82806,34.74218,23.55192,798.91394,51.25446,19.433653,557.06305
275.0,150.86996,125,68.8988,5404.6942,1636.296,107.186676,4.041468,46.500557,122.37825,18.989506,98.484406,107.99415,1.4468307,87.25433,106.69358,19.453241,348.62146
220.00000000000003,111.08089,100,55.096405,3599.8804,2842.5576,45.11674,5.0648646,769.98425,52.530193,30.357948,178.20276,36.57584,20.833368,296.34973,66.3255,6.98626,472.1567
147.0,105.47886,70,50.534657,2981.953,1870.824,52.075794,17.64014,145.75931,76.034744,9.77001,226.85403,65.19969,6.144883,147.06047,55.79525,21.277924,99.388916
228.9,253.88197,109,126.508095,2644.5141250000006,3304.6997,134.59349,13.109928,57.853077,207.20195,55.96588,423.3471,163.9184,10.067384,163.78484,228.42355,11.305679,612.1874
276.0,249.69173,120,125.25673,4414.7032,3374.1426,162.55876,14.781492,521.18567,213.09903,20.57279,127.89143,147.92482,11.741386,487.15756,165.88937,45.24388,128.19939
201.4,118.71784,106,59.66903,1482.0280000000002,1941.2045,64.791695,8.382024,353.44333,71.981606,22.178003,72.46378,72.45497,4.788206,288.79044,72.995705,24.284533,256.48212
98.6,252.91937,58,117.39155,2164.964,2646.2112,180.75294,10.797029,97.826584,201.18405,23.534603,321.2537,135.7327,39.71059,81.92688,183.0726,37.211475,54.893642
146.29999999999998,215.64912,77,93.57149,2681.02225,3756.2734,152.18822,7.1130443,320.92493,182.72614,11.417867,568.573,92.55879,32.885624,384.7283,154.39874,19.695234,542.2662
262.0,88.91612,131,49.476162,1922.2732,2328.9268,37.00047,11.565666,229.23029,41.17922,23.154818,143.40997,34.454872,6.9033213,95.72121,47.117825,15.245684,376.84598
163.8,242.91348,78,134.90656,1807.8105000000005,2833.8235,132.18092,45.545643,93.595,190.12863,40.85294,59.912746,130.64464,40.645447,188.19725,174.559,45.9176,191.61125
174.0,86.12621,87,45.54643,4020.7971,2139.4739,41.762577,14.529944,208.45726,49.019463,10.139196,345.1309,29.386648,16.3841,232.06339,32.629044,23.426437,779.8749
305.9,139.73605,133,87.85211,4614.4177,3309.4153,49.27591,19.722593,359.6922,80.3816,27.390501,173.6794,73.43849,9.949924,520.9235,82.85197,9.9386,554.7844
202.4,187.83827,92,118.848465,2379.2734000000005,4065.3062,76.49619,38.550995,577.275,172.07338,30.053246,841.6247,109.668106,11.833401,596.0594,76.56411,52.201817,645.9287
276.0,108.85042,138,49.512856,4398.22365,1151.4777,61.46695,10.652463,36.185234,77.01551,18.719553,70.408745,72.35579,4.0563126,19.747036,105.723915,6.3118496,52.68549
118.0,219.34428,59,121.541985,1482.671625,3183.7227,114.35113,15.449444,281.8142,209.16286,18.276196,422.13812,142.0154,15.752871,172.67386,185.36076,13.6068535,297.17346
